3.638e-12-91636i,3.638e-12+91636i,-6.8212e-13-14970i,-6.8212e-13+14970i,5.6843e-14-10666i,5.6843e-14+10666i,7.6028e-13-5780.3i,7.6028e-13+5780.3i,1.279e-13-2761.9i,1.279e-13+2761.9i,5.6843e-13-1700.2i,5.6843e-13+1700.2i,-1.009e-12-523.82i,-1.009e-12+523.82i,1.4122e-13-36.537i,1.4122e-13+36.537i
-6.2528e-13-30583i,-6.2528e-13+30583i,-1.7053e-13-16177i,-1.7053e-13+16177i,-6.8212e-13-10372i,-6.8212e-13+10372i,-7.4607e-13-5611.1i,-7.4607e-13+5611.1i,-5.6843e-13-3103.5i,-5.6843e-13+3103.5i,-5.6843e-14-2038.7i,-5.6843e-14+2038.7i,-1.2079e-13-942.8i,-1.2079e-13+942.8i,-2.7001e-13-447.7i,-2.7001e-13+447.7i
-9.0949e-13-36431i,-9.0949e-13+36431i,0-28815i,0+28815i,4.5475e-13-20795i,4.5475e-13+20795i,1.3642e-12-11205i,1.3642e-12+11205i,-1.2506e-12-9844.1i,-1.2506e-12+9844.1i,-2.8422e-14-5909.9i,-2.8422e-14+5909.9i,-2.2737e-13-2132.6i,-2.2737e-13+2132.6i,2.3626e-13-78.558i,2.3626e-13+78.558i
7.1623e-12-70252i,7.1623e-12+70252i,-1.3358e-12-52111i,-1.3358e-12+52111i,3.1832e-12-45803i,3.1832e-12+45803i,-2.5011e-12-24015i,-2.5011e-12+24015i,1.819e-12-14594i,1.819e-12+14594i,-1.5916e-12-7247.6i,-1.5916e-12+7247.6i,-2.089e-12-3328.4i,-2.089e-12+3328.4i,-1.4211e-13-695.65i,-1.4211e-13+695.65i
1.819e-12-1.2416e+05i,1.819e-12+1.2416e+05i,-3.4106e-12-84554i,-3.4106e-12+84554i,0-58186i,0+58186i,-1.819e-12-39910i,-1.819e-12+39910i,-7.4039e-12-24230i,-7.4039e-12+24230i,-1.1369e-12-19054i,-1.1369e-12+19054i,1.1369e-12-3621.8i,1.1369e-12+3621.8i,4.5475e-13-7858.5i,4.5475e-13+7858.5i
-1.4552e-11-1.1584e+05i,-1.4552e-11+1.1584e+05i,9.0949e-13-82626i,9.0949e-13+82626i,4.5475e-13-55911i,4.5475e-13+55911i,-9.0949e-13-36353i,-9.0949e-13+36353i,-3.1832e-12-28941i,-3.1832e-12+28941i,-2.899e-12-22754i,-2.899e-12+22754i,-1.1369e-12-8369.3i,-1.1369e-12+8369.3i,-3.1832e-12-2246.5i,-3.1832e-12+2246.5i
-8.2991e-12-1.3026e+05i,-8.2991e-12+1.3026e+05i,-5.7733e-63-89839i,-5.7733e-63+89839i,-1.0232e-12-55221i,-1.0232e-12+55221i,-2.2737e-12-45129i,-2.2737e-12+45129i,2.3306e-12-24745i,2.3306e-12+24745i,0-16626i,0+16626i,4.5475e-13-10013i,4.5475e-13+10013i,-6.2528e-12-4414i,-6.2528e-12+4414i
-2.2737e-12-1.1885e+05i,-2.2737e-12+1.1885e+05i,-1.9327e-12-76901i,-1.9327e-12+76901i,-3.4106e-12-58120i,-3.4106e-12+58120i,3.638e-12-35453i,3.638e-12+35453i,5.9117e-12-29765i,5.9117e-12+29765i,-9.0949e-13-15091i,-9.0949e-13+15091i,1.5916e-12-9880.2i,1.5916e-12+9880.2i,-5.1159e-12-2155.1i,-5.1159e-12+2155.1i
-5.9117e-12-95860i,-5.9117e-12+95860i,0-85385i,0+85385i,-3.0695e-12-51767i,-3.0695e-12+51767i,-4.5475e-13-38716i,-4.5475e-13+38716i,-4.5475e-12-23022i,-4.5475e-12+23022i,4.2633e-12-17784i,4.2633e-12+17784i,2.2737e-13-8902i,2.2737e-13+8902i,-2.1032e-12-1957.8i,-2.1032e-12+1957.8i
-1.6209e-12-96694i,-1.6209e-12+96694i,-3.638e-12-87369i,-3.638e-12+87369i,0-54346i,0+54346i,-6.8212e-13-38133i,-6.8212e-13+38133i,2.7285e-12-23072i,2.7285e-12+23072i,1.819e-12-17985i,1.819e-12+17985i,5.1159e-13-12436i,5.1159e-13+12436i,2.558e-13-324.6i,2.558e-13+324.6i
1.819e-12-89562i,1.819e-12+89562i,-1.3642e-12-60934i,-1.3642e-12+60934i,-6.2528e-13-37271i,-6.2528e-13+37271i,0-28972i,0+28972i,-9.0949e-13-21656i,-9.0949e-13+21656i,-4.0927e-12-19087i,-4.0927e-12+19087i,4.5475e-13-5518.5i,4.5475e-13+5518.5i,-2.2737e-13-7762.2i,-2.2737e-13+7762.2i
-1.819e-12-83320i,-1.819e-12+83320i,9.0949e-13-61989i,9.0949e-13+61989i,2.7285e-12-44563i,2.7285e-12+44563i,2.558e-12-33617i,2.558e-12+33617i,-2.2737e-12-19004i,-2.2737e-12+19004i,0-16784i,0+16784i,-2.1743e-12-2236.2i,-2.1743e-12+2236.2i,2.9559e-12-8330.1i,2.9559e-12+8330.1i
-7.276e-12-91246i,-7.276e-12+91246i,-1.7053e-12-67577i,-1.7053e-12+67577i,-9.0949e-13-57780i,-9.0949e-13+57780i,0-35087i,0+35087i,1.5916e-12-28313i,1.5916e-12+28313i,7.9581e-13-19674i,7.9581e-13+19674i,1.279e-12-8351.1i,1.279e-12+8351.1i,0-3672.9i,0+3672.9i
