7.3896e-12-1.1381e+05i,7.3896e-12+1.1381e+05i,-3.638e-12-76546i,-3.638e-12+76546i,0-42533i,0+42533i,7.9581e-13-18188i,7.9581e-13+18188i,2.2737e-13-11741i,2.2737e-13+11741i,-2.4869e-12-8187.6i,-2.4869e-12+8187.6i,1.7053e-13-3966.4i,1.7053e-13+3966.4i,1.2079e-13-226.39i,1.2079e-13+226.39i
2.2737e-12-3.8487e+05i,2.2737e-12+3.8487e+05i,-1.1823e-11-2.3368e+05i,-1.1823e-11+2.3368e+05i,1.2733e-11-51214i,1.2733e-11+51214i,8.1855e-12-28476i,8.1855e-12+28476i,-2.2737e-12-10828i,-2.2737e-12+10828i,-3.1832e-12-7644.1i,-3.1832e-12+7644.1i,-3.3538e-12-3402.9i,-3.3538e-12+3402.9i,3.979e-13-735.33i,3.979e-13+735.33i
1.0495e-11-1.7057e+05i,1.0495e-11+1.7057e+05i,8.1855e-12-96322i,8.1855e-12+96322i,-1.0942e-12-35235i,-1.0942e-12+35235i,-1.819e-12-28313i,-1.819e-12+28313i,-2.0464e-12-15543i,-2.0464e-12+15543i,-1.1511e-12-2230.1i,-1.1511e-12+2230.1i,-1.819e-12-6547.8i,-1.819e-12+6547.8i,9.0949e-13-9040.9i,9.0949e-13+9040.9i
-9.0949e-13-1.8928e+05i,-9.0949e-13+1.8928e+05i,0-94258i,0+94258i,0-54429i,0+54429i,-5.457e-12-30083i,-5.457e-12+30083i,-5.457e-12-15888i,-5.457e-12+15888i,3.5811e-12-9952i,3.5811e-12+9952i,2.9559e-12-6508.8i,2.9559e-12+6508.8i,2.6752e-12-168.83i,2.6752e-12+168.83i
-9.0949e-13-1.8906e+05i,-9.0949e-13+1.8906e+05i,4.5475e-12-1.0603e+05i,4.5475e-12+1.0603e+05i,9.5213e-13-53479i,9.5213e-13+53479i,1.819e-12-30742i,1.819e-12+30742i,-2.2737e-12-18317i,-2.2737e-12+18317i,-8.2423e-13-10701i,-8.2423e-13+10701i,-9.0949e-13-4138.2i,-9.0949e-13+4138.2i,-2.9559e-12-1642.5i,-2.9559e-12+1642.5i
-1.0232e-11-1.9444e+05i,-1.0232e-11+1.9444e+05i,7.276e-12-1.2453e+05i,7.276e-12+1.2453e+05i,-5.2296e-12-61001i,-5.2296e-12+61001i,2.7285e-12-28663i,2.7285e-12+28663i,2.0464e-12-18808i,2.0464e-12+18808i,-1.3642e-12-8185.5i,-1.3642e-12+8185.5i,-2.2737e-12-1455.3i,-2.2737e-12+1455.3i,-3.638e-12-4037.3i,-3.638e-12+4037.3i
-2.7285e-12-1.8356e+05i,-2.7285e-12+1.8356e+05i,-3.1832e-12-89258i,-3.1832e-12+89258i,-2.6148e-12-49986i,-2.6148e-12+49986i,-3.979e-13-38327i,-3.979e-13+38327i,-1.3642e-12-21928i,-1.3642e-12+21928i,1.1369e-12-10202i,1.1369e-12+10202i,1.1369e-13-6065.7i,1.1369e-13+6065.7i,8.5265e-14-771.01i,8.5265e-14+771.01i
-2.8422e-12-1.7389e+05i,-2.8422e-12+1.7389e+05i,-2.7285e-12-1.0739e+05i,-2.7285e-12+1.0739e+05i,4.3201e-12-43416i,4.3201e-12+43416i,4.0927e-12-24758i,4.0927e-12+24758i,3.638e-12-15116i,3.638e-12+15116i,-2.2737e-13-11120i,-2.2737e-13+11120i,-1.3642e-12-1422.7i,-1.3642e-12+1422.7i,-1.1369e-13-5387.2i,-1.1369e-13+5387.2i
0-2.7725e+05i,0+2.7725e+05i,3.638e-12-1.4878e+05i,3.638e-12+1.4878e+05i,2.2737e-12-79024i,2.2737e-12+79024i,4.7748e-12-38785i,4.7748e-12+38785i,4.0927e-12-18994i,4.0927e-12+18994i,-2.5011e-12-10249i,-2.5011e-12+10249i,0-5397.2i,0+5397.2i,-1.1369e-12-1398.8i,-1.1369e-12+1398.8i
3.6948e-12-1.7204e+05i,3.6948e-12+1.7204e+05i,2.7285e-12-96547i,2.7285e-12+96547i,1.819e-12-46139i,1.819e-12+46139i,1.819e-12-29017i,1.819e-12+29017i,3.0695e-12-20746i,3.0695e-12+20746i,-4.5475e-13-12712i,-4.5475e-13+12712i,3.638e-12-8661.3i,3.638e-12+8661.3i,-1.1369e-12-1456.3i,-1.1369e-12+1456.3i
0-2.4784e+05i,0+2.4784e+05i,-1.0004e-11-1.2917e+05i,-1.0004e-11+1.2917e+05i,-1.4552e-11-54427i,-1.4552e-11+54427i,5.0591e-12-31153i,5.0591e-12+31153i,1.819e-12-26978i,1.819e-12+26978i,-6.8212e-13-10644i,-6.8212e-13+10644i,2.558e-12-5586.5i,2.558e-12+5586.5i,-3.439e-12-869.7i,-3.439e-12+869.7i
