-8.7311e-11-1.1803e+06i,-8.7311e-11+1.1803e+06i,1.4552e-11-6.0048e+05i,1.4552e-11+6.0048e+05i,2.7285e-12-2.1684e+05i,2.7285e-12+2.1684e+05i,2.7285e-12-1.1882e+05i,2.7285e-12+1.1882e+05i,-2.7285e-12-41792i,-2.7285e-12+41792i,-9.8339e-12-11895i,-9.8339e-12+11895i,5.0022e-12-10022i,5.0022e-12+10022i,1.9071e-11-2951.2i,1.9071e-11+2951.2i
-6.3665e-12-4.0363e+05i,-6.3665e-12+4.0363e+05i,2.7285e-12-2.1521e+05i,2.7285e-12+2.1521e+05i,0-86838i,0+86838i,4.5475e-12-53789i,4.5475e-12+53789i,9.0949e-12-31377i,9.0949e-12+31377i,1.819e-12-13773i,1.819e-12+13773i,4.4338e-12-4596.5i,4.4338e-12+4596.5i,8.6402e-12-1682.9i,8.6402e-12+1682.9i
-2.9104e-11-6.5871e+05i,-2.9104e-11+6.5871e+05i,-2.9104e-11-3.3765e+05i,-2.9104e-11+3.3765e+05i,1.2733e-11-1.8077e+05i,1.2733e-11+1.8077e+05i,2.2737e-13-52185i,2.2737e-13+52185i,-1.819e-12-40191i,-1.819e-12+40191i,-2.7285e-12-19187i,-2.7285e-12+19187i,1.5916e-12-15680i,1.5916e-12+15680i,3.1832e-12-2380.7i,3.1832e-12+2380.7i
1.819e-11-6.2977e+05i,1.819e-11+6.2977e+05i,1.2733e-11-2.9849e+05i,1.2733e-11+2.9849e+05i,0-2.1136e+05i,0+2.1136e+05i,1.819e-12-59657i,1.819e-12+59657i,-5.457e-12-41077i,-5.457e-12+41077i,-2.7285e-12-20223i,-2.7285e-12+20223i,-2.2737e-13-8799.4i,-2.2737e-13+8799.4i,4.0927e-12-3243.7i,4.0927e-12+3243.7i
2.5466e-11-8.0668e+05i,2.5466e-11+8.0668e+05i,-1.819e-11-3.2568e+05i,-1.819e-11+3.2568e+05i,1.0743e-11-2.2229e+05i,1.0743e-11+2.2229e+05i,1.819e-11-1.0221e+05i,1.819e-11+1.0221e+05i,7.276e-12-69438i,7.276e-12+69438i,0-22646i,0+22646i,3.638e-12-9807i,3.638e-12+9807i,-9.436e-12-2369.6i,-9.436e-12+2369.6i
-2.3647e-11-8.3648e+05i,-2.3647e-11+8.3648e+05i,1.6371e-11-2.8684e+05i,1.6371e-11+2.8684e+05i,1.819e-11-2.1765e+05i,1.819e-11+2.1765e+05i,8.1855e-12-1.0791e+05i,8.1855e-12+1.0791e+05i,-3.638e-12-77119i,-3.638e-12+77119i,-1.0346e-11-24222i,-1.0346e-11+24222i,-1.0914e-11-13076i,-1.0914e-11+13076i,-2.2737e-12-4637.9i,-2.2737e-12+4637.9i
1.819e-12-7.8824e+05i,1.819e-12+7.8824e+05i,-2.0009e-11-6.3949e+05i,-2.0009e-11+6.3949e+05i,-2.8422e-13-2.0353e+05i,-2.8422e-13+2.0353e+05i,2.9104e-11-1.4679e+05i,2.9104e-11+1.4679e+05i,5.0022e-12-51698i,5.0022e-12+51698i,-5.457e-12-27617i,-5.457e-12+27617i,1.9668e-11-11662i,1.9668e-11+11662i,8.7255e-12-558.7i,8.7255e-12+558.7i
1.0186e-10-1.1071e+06i,1.0186e-10+1.1071e+06i,0-5.8828e+05i,0+5.8828e+05i,4.0927e-12-1.4468e+05i,4.0927e-12+1.4468e+05i,1.9099e-11-1.1754e+05i,1.9099e-11+1.1754e+05i,-1.1823e-11-51314i,-1.1823e-11+51314i,1.4097e-11-22833i,1.4097e-11+22833i,-2.0009e-11-9898.4i,-2.0009e-11+9898.4i,-9.6776e-12-382.43i,-9.6776e-12+382.43i
1.4552e-11-8.9252e+05i,1.4552e-11+8.9252e+05i,6.9122e-11-7.8894e+05i,6.9122e-11+7.8894e+05i,-6.7075e-12-1.5822e+05i,-6.7075e-12+1.5822e+05i,1.063e-11-67839i,1.063e-11+67839i,3.638e-12-46208i,3.638e-12+46208i,1.2733e-11-24791i,1.2733e-11+24791i,-2.3647e-11-11512i,-2.3647e-11+11512i,-4.9738e-13-262.69i,-4.9738e-13+262.69i
-2.9104e-11-9.0816e+05i,-2.9104e-11+9.0816e+05i,1.819e-12-7.2277e+05i,1.819e-12+7.2277e+05i,5.457e-12-1.4359e+05i,5.457e-12+1.4359e+05i,1.0914e-11-87255i,1.0914e-11+87255i,-5.457e-12-47023i,-5.457e-12+47023i,1.5916e-12-27568i,1.5916e-12+27568i,-2.4784e-11-14766i,-2.4784e-11+14766i,5.1159e-12-2567.8i,5.1159e-12+2567.8i
1.4552e-11-8.9646e+05i,1.4552e-11+8.9646e+05i,7.4837e-50-6.6648e+05i,7.4837e-50+6.6648e+05i,-1.0914e-11-1.4864e+05i,-1.0914e-11+1.4864e+05i,0-92781i,0+92781i,-1.2733e-11-44181i,-1.2733e-11+44181i,7.276e-12-25383i,7.276e-12+25383i,-1.2733e-11-10145i,-1.2733e-11+10145i,-1.6428e-11-2388.9i,-1.6428e-11+2388.9i
2.1828e-11-8.2388e+05i,2.1828e-11+8.2388e+05i,0-6.4747e+05i,0+6.4747e+05i,-1.5461e-11-1.3008e+05i,-1.5461e-11+1.3008e+05i,-7.276e-12-99786i,-7.276e-12+99786i,5.0022e-12-47438i,5.0022e-12+47438i,-5.457e-12-23099i,-5.457e-12+23099i,-8.1855e-12-15292i,-8.1855e-12+15292i,-1.3017e-11-3383.7i,-1.3017e-11+3383.7i
4.3656e-11-5.6204e+05i,4.3656e-11+5.6204e+05i,-1.4552e-11-2.5768e+05i,-1.4552e-11+2.5768e+05i,4.5475e-12-1.075e+05i,4.5475e-12+1.075e+05i,-4.2064e-12-46955i,-4.2064e-12+46955i,9.5497e-12-31615i,9.5497e-12+31615i,4.0927e-12-20038i,4.0927e-12+20038i,4.0927e-12-8665.6i,4.0927e-12+8665.6i,-3.9542e-12-2674.9i,-3.9542e-12+2674.9i
1.08e-12-75905i,1.08e-12+75905i,4.5475e-13-53338i,4.5475e-13+53338i,0-24371i,0+24371i,5.5271e-76-18680i,5.5271e-76+18680i,-4.5475e-13-7648.2i,-4.5475e-13+7648.2i,-2.16e-12-3224.6i,-2.16e-12+3224.6i,9.2371e-14-615i,9.2371e-14+615i,-8.8107e-13-1776.8i,-8.8107e-13+1776.8i
7.276e-12-1.4127e+05i,7.276e-12+1.4127e+05i,-6.8212e-13-66880i,-6.8212e-13+66880i,-1.1369e-12-42203i,-1.1369e-12+42203i,1.819e-12-29904i,1.819e-12+29904i,4.4338e-12-11245i,4.4338e-12+11245i,4.5475e-13-6719.6i,4.5475e-13+6719.6i,-3.439e-12-1246.3i,-3.439e-12+1246.3i,1.1369e-12-3916.2i,1.1369e-12+3916.2i
2.5466e-11-6.283e+05i,2.5466e-11+6.283e+05i,-3.5374e-74-4.8084e+05i,-3.5374e-74+4.8084e+05i,1.2278e-11-1.0533e+05i,1.2278e-11+1.0533e+05i,1.2733e-11-44062i,1.2733e-11+44062i,-2.7285e-11-27271i,-2.7285e-11+27271i,3.638e-12-24722i,3.638e-12+24722i,1.6371e-11-11342i,1.6371e-11+11342i,-6.2244e-12-3264.4i,-6.2244e-12+3264.4i
0-8.66e+05i,0+8.66e+05i,1.9447e-62-5.7233e+05i,1.9447e-62+5.7233e+05i,-4.3656e-11-2.4322e+05i,-4.3656e-11+2.4322e+05i,-1.4552e-11-1.6595e+05i,-1.4552e-11+1.6595e+05i,1.728e-11-92995i,1.728e-11+92995i,-1.5007e-11-33155i,-1.5007e-11+33155i,-1.5007e-11-15599i,-1.5007e-11+15599i,3.098e-12-4757.7i,3.098e-12+4757.7i
