-8.7311e-11-1.1803e+06i,-8.7311e-11+1.1803e+06i,1.4552e-11-6.0048e+05i,1.4552e-11+6.0048e+05i,2.7285e-12-2.1684e+05i,2.7285e-12+2.1684e+05i,2.7285e-12-1.1882e+05i,2.7285e-12+1.1882e+05i,-2.7285e-12-41792i,-2.7285e-12+41792i,-9.8339e-12-11895i,-9.8339e-12+11895i,5.0022e-12-10022i,5.0022e-12+10022i,1.9071e-11-2951.2i,1.9071e-11+2951.2i
3.2742e-11-1.1199e+06i,3.2742e-11+1.1199e+06i,2.9104e-11-6.9006e+05i,2.9104e-11+6.9006e+05i,4.2746e-11-1.781e+05i,4.2746e-11+1.781e+05i,-1.819e-11-1.1071e+05i,-1.819e-11+1.1071e+05i,-9.0949e-12-54409i,-9.0949e-12+54409i,2.5011e-12-26140i,2.5011e-12+26140i,-1.0459e-11-11698i,-1.0459e-11+11698i,-8.4697e-12-2964.7i,-8.4697e-12+2964.7i
9.0949e-12-8.2777e+05i,9.0949e-12+8.2777e+05i,-3.638e-11-6.3633e+05i,-3.638e-11+6.3633e+05i,-8.6402e-12-1.6344e+05i,-8.6402e-12+1.6344e+05i,7.276e-12-1.2064e+05i,7.276e-12+1.2064e+05i,1.3188e-11-80246i,1.3188e-11+80246i,-1.819e-11-27151i,-1.819e-11+27151i,1.7963e-11-4450.3i,1.7963e-11+4450.3i,1.1369e-11-10219i,1.1369e-11+10219i
-3.638e-12-1.1401e+06i,-3.638e-12+1.1401e+06i,0-6.597e+05i,0+6.597e+05i,9.0949e-12-1.7582e+05i,9.0949e-12+1.7582e+05i,-1.0914e-11-1.0636e+05i,-1.0914e-11+1.0636e+05i,-7.276e-12-63459i,-7.276e-12+63459i,2.2737e-11-30102i,2.2737e-11+30102i,4.5475e-13-21216i,4.5475e-13+21216i,-3.8085e-11-855.2i,-3.8085e-11+855.2i
2.1828e-11-1.0843e+06i,2.1828e-11+1.0843e+06i,0-6.5967e+05i,0+6.5967e+05i,-2.5238e-11-1.8308e+05i,-2.5238e-11+1.8308e+05i,-1.0914e-11-1.0594e+05i,-1.0914e-11+1.0594e+05i,-1.1141e-11-81907i,-1.1141e-11+81907i,-2.4556e-11-21354i,-2.4556e-11+21354i,-4.0927e-12-12484i,-4.0927e-12+12484i,1.701e-11-305.92i,1.701e-11+305.92i
0-1.2528e+06i,0+1.2528e+06i,-2.9104e-11-6.4428e+05i,-2.9104e-11+6.4428e+05i,-2.1828e-11-2.3991e+05i,-2.1828e-11+2.3991e+05i,-1.819e-11-99177i,-1.819e-11+99177i,2.4556e-11-42075i,2.4556e-11+42075i,9.0949e-12-21888i,9.0949e-12+21888i,-4.5475e-12-14193i,-4.5475e-12+14193i,7.8444e-12-1496.5i,7.8444e-12+1496.5i
6.0027e-11-1.0819e+06i,6.0027e-11+1.0819e+06i,-1.0914e-11-6.5924e+05i,-1.0914e-11+6.5924e+05i,-1.4552e-11-2.203e+05i,-1.4552e-11+2.203e+05i,-7.5033e-12-1.5282e+05i,-7.5033e-12+1.5282e+05i,-1.0914e-11-93249i,-1.0914e-11+93249i,6.3665e-12-21833i,6.3665e-12+21833i,4.7464e-12-12077i,4.7464e-12+12077i,5.3717e-12-715.6i,5.3717e-12+715.6i
-4.3656e-11-1.0475e+06i,-4.3656e-11+1.0475e+06i,-1.0914e-11-7.1279e+05i,-1.0914e-11+7.1279e+05i,2.9104e-11-1.9206e+05i,2.9104e-11+1.9206e+05i,0-98844i,0+98844i,-9.0949e-12-57570i,-9.0949e-12+57570i,-1.3642e-11-23450i,-1.3642e-11+23450i,6.8212e-12-15290i,6.8212e-12+15290i,2.3739e-11-641.19i,2.3739e-11+641.19i
9.0949e-12-1.1436e+06i,9.0949e-12+1.1436e+06i,-3.638e-12-6.9289e+05i,-3.638e-12+6.9289e+05i,-9.0949e-12-2.0698e+05i,-9.0949e-12+2.0698e+05i,-1.819e-12-1.5987e+05i,-1.819e-12+1.5987e+05i,5.457e-11-1.0111e+05i,5.457e-11+1.0111e+05i,-1.5461e-11-24071i,-1.5461e-11+24071i,1.2847e-11-15799i,1.2847e-11+15799i,1.2705e-11-810.28i,1.2705e-11+810.28i
-2.9104e-11-9.3814e+05i,-2.9104e-11+9.3814e+05i,0-8.0539e+05i,0+8.0539e+05i,-7.276e-12-2.3775e+05i,-7.276e-12+2.3775e+05i,-1.0914e-11-1.0187e+05i,-1.0914e-11+1.0187e+05i,-2.9559e-12-83175i,-2.9559e-12+83175i,-5.9117e-12-38939i,-5.9117e-12+38939i,-2.1259e-11-6816.3i,-2.1259e-11+6816.3i,4.8317e-12-1975.8i,4.8317e-12+1975.8i
-1.4552e-11-9.0344e+05i,-1.4552e-11+9.0344e+05i,0-7.927e+05i,0+7.927e+05i,-1.4552e-11-1.7925e+05i,-1.4552e-11+1.7925e+05i,2.5466e-11-1.0388e+05i,2.5466e-11+1.0388e+05i,1.4097e-11-70272i,1.4097e-11+70272i,-1.6371e-11-30070i,-1.6371e-11+30070i,7.276e-12-11568i,7.276e-12+11568i,1.1838e-11-645.36i,1.1838e-11+645.36i
-3.8199e-11-1.0952e+06i,-3.8199e-11+1.0952e+06i,-2.9104e-11-8.0547e+05i,-2.9104e-11+8.0547e+05i,-1.4552e-11-2.0588e+05i,-1.4552e-11+2.0588e+05i,2.1828e-11-1.2447e+05i,2.1828e-11+1.2447e+05i,7.276e-12-82190i,7.276e-12+82190i,2.0009e-11-33329i,2.0009e-11+33329i,4.0927e-12-7831.7i,4.0927e-12+7831.7i,-8.9031e-12-248.84i,-8.9031e-12+248.84i
1.819e-12-1.0785e+06i,1.819e-12+1.0785e+06i,1.4552e-11-6.5648e+05i,1.4552e-11+6.5648e+05i,1.819e-12-2.6264e+05i,1.819e-12+2.6264e+05i,2.7285e-12-1.3729e+05i,2.7285e-12+1.3729e+05i,2.0918e-11-77177i,2.0918e-11+77177i,7.276e-12-36049i,7.276e-12+36049i,1.2733e-11-8488.9i,1.2733e-11+8488.9i,-1.6954e-11-314.21i,-1.6954e-11+314.21i
-5.0932e-11-9.9961e+05i,-5.0932e-11+9.9961e+05i,-7.276e-12-7.1866e+05i,-7.276e-12+7.1866e+05i,1.4552e-11-1.8122e+05i,1.4552e-11+1.8122e+05i,0-1.1758e+05i,0+1.1758e+05i,7.276e-12-76910i,7.276e-12+76910i,-3.3651e-11-24400i,-3.3651e-11+24400i,-7.276e-12-7497i,-7.276e-12+7497i,-1.0207e-11-565.18i,-1.0207e-11+565.18i
-1.4325e-11-1.0245e+06i,-1.4325e-11+1.0245e+06i,2.9104e-11-5.9448e+05i,2.9104e-11+5.9448e+05i,-2.9104e-11-2.4122e+05i,-2.9104e-11+2.4122e+05i,1.0914e-11-1.3665e+05i,1.0914e-11+1.3665e+05i,5.457e-12-74079i,5.457e-12+74079i,7.276e-12-43013i,7.276e-12+43013i,-7.5033e-12-7533.9i,-7.5033e-12+7533.9i,2.7285e-12-2978.1i,2.7285e-12+2978.1i
2.1828e-11-9.9666e+05i,2.1828e-11+9.9666e+05i,-2.1828e-11-6.5466e+05i,-2.1828e-11+6.5466e+05i,-2.9104e-11-1.8044e+05i,-2.9104e-11+1.8044e+05i,1.5461e-11-1.254e+05i,1.5461e-11+1.254e+05i,-1.728e-11-94455i,-1.728e-11+94455i,4.5475e-13-26354i,4.5475e-13+26354i,1.0147e-11-9344.5i,1.0147e-11+9344.5i,-1.1028e-11-3150.9i,-1.1028e-11+3150.9i
-1.4552e-11-9.0269e+05i,-1.4552e-11+9.0269e+05i,1.3415e-11-6.4532e+05i,1.3415e-11+6.4532e+05i,6.5484e-11-2.4121e+05i,6.5484e-11+2.4121e+05i,-1.0914e-11-1.2615e+05i,-1.0914e-11+1.2615e+05i,-1.0914e-11-1.1538e+05i,-1.0914e-11+1.1538e+05i,3.638e-11-33929i,3.638e-11+33929i,1.6826e-11-12671i,1.6826e-11+12671i,-2.8422e-13-928.49i,-2.8422e-13+928.49i
2.9104e-11-9.5754e+05i,2.9104e-11+9.5754e+05i,-3.7289e-11-5.8512e+05i,-3.7289e-11+5.8512e+05i,4.7748e-12-2.5734e+05i,4.7748e-12+2.5734e+05i,-1.0914e-11-1.4315e+05i,-1.0914e-11+1.4315e+05i,-2.1828e-11-92484i,-2.1828e-11+92484i,-5.457e-12-19861i,-5.457e-12+19861i,0-15094i,0+15094i,3.4674e-12-1389.6i,3.4674e-12+1389.6i
0-9.2561e+05i,0+9.2561e+05i,-2.5466e-11-5.7521e+05i,-2.5466e-11+5.7521e+05i,3.638e-11-2.0189e+05i,3.638e-11+2.0189e+05i,-2.6375e-11-1.2868e+05i,-2.6375e-11+1.2868e+05i,1.0914e-11-93905i,1.0914e-11+93905i,-1.3415e-11-24204i,-1.3415e-11+24204i,-2.7285e-12-13794i,-2.7285e-12+13794i,-1.4325e-11-2837.9i,-1.4325e-11+2837.9i
-1.0914e-11-1.245e+06i,-1.0914e-11+1.245e+06i,-7.276e-12-8.0111e+05i,-7.276e-12+8.0111e+05i,2.9104e-11-2.3493e+05i,2.9104e-11+2.3493e+05i,0-1.326e+05i,0+1.326e+05i,-2.1828e-11-85334i,-2.1828e-11+85334i,-1.819e-12-35768i,-1.819e-12+35768i,1.6826e-11-18083i,1.6826e-11+18083i,7.3896e-12-2237.6i,7.3896e-12+2237.6i
4.3656e-11-7.0077e+05i,4.3656e-11+7.0077e+05i,2.1828e-11-3.7102e+05i,2.1828e-11+3.7102e+05i,-9.0949e-12-1.7789e+05i,-9.0949e-12+1.7789e+05i,2.7285e-12-1.1196e+05i,2.7285e-12+1.1196e+05i,2.5466e-11-58134i,2.5466e-11+58134i,-2.7285e-12-25758i,-2.7285e-12+25758i,4.8033e-12-8428i,4.8033e-12+8428i,1.4296e-11-756.03i,1.4296e-11+756.03i
-3.4561e-11-1.0569e+06i,-3.4561e-11+1.0569e+06i,5.8208e-11-6.203e+05i,5.8208e-11+6.203e+05i,0-1.8068e+05i,0+1.8068e+05i,-2.3874e-11-1.3449e+05i,-2.3874e-11+1.3449e+05i,-1.0459e-11-80527i,-1.0459e-11+80527i,-1.0459e-11-2912.8i,-1.0459e-11+2912.8i,1.819e-12-13193i,1.819e-12+13193i,8.1855e-12-21311i,8.1855e-12+21311i
-5.2296e-12-9.0829e+05i,-5.2296e-12+9.0829e+05i,-1.819e-11-6.5483e+05i,-1.819e-11+6.5483e+05i,-2.9104e-11-2.2977e+05i,-2.9104e-11+2.2977e+05i,-1.2733e-11-1.3102e+05i,-1.2733e-11+1.3102e+05i,2.0009e-11-1.0181e+05i,2.0009e-11+1.0181e+05i,-1.6371e-11-23851i,-1.6371e-11+23851i,-4.4906e-12-7167.1i,-4.4906e-12+7167.1i,5.5707e-12-3466.3i,5.5707e-12+3466.3i
-6.7075e-12-9.3784e+05i,-6.7075e-12+9.3784e+05i,1.0914e-11-5.6625e+05i,1.0914e-11+5.6625e+05i,2.0009e-11-1.5895e+05i,2.0009e-11+1.5895e+05i,-2.9104e-11-1.5029e+05i,-2.9104e-11+1.5029e+05i,-7.276e-12-74421i,-7.276e-12+74421i,-1.0914e-11-30506i,-1.0914e-11+30506i,-4.5475e-12-9765.5i,-4.5475e-12+9765.5i,1.2818e-11-1065.8i,1.2818e-11+1065.8i
-1.4552e-11-1.1095e+06i,-1.4552e-11+1.1095e+06i,-2.9104e-11-5.4765e+05i,-2.9104e-11+5.4765e+05i,-1.3188e-11-1.7832e+05i,-1.3188e-11+1.7832e+05i,2.1373e-11-1.263e+05i,2.1373e-11+1.263e+05i,7.5033e-12-63033i,7.5033e-12+63033i,-1.2733e-11-23809i,-1.2733e-11+23809i,-1.3642e-12-12622i,-1.3642e-12+12622i,-1.9213e-11-3020.1i,-1.9213e-11+3020.1i
-5.457e-12-1.6806e+05i,-5.457e-12+1.6806e+05i,0-1.0628e+05i,0+1.0628e+05i,1.3642e-12-28642i,1.3642e-12+28642i,-2.7285e-12-22144i,-2.7285e-12+22144i,2.2737e-13-15962i,2.2737e-13+15962i,9.0949e-13-4272.9i,9.0949e-13+4272.9i,-2.2169e-12-1812.5i,-2.2169e-12+1812.5i,2.0393e-12-345.99i,2.0393e-12+345.99i
5.0022e-12-1.0239e+05i,5.0022e-12+1.0239e+05i,1.9327e-12-69432i,1.9327e-12+69432i,-4.5475e-12-36566i,-4.5475e-12+36566i,1.819e-12-23749i,1.819e-12+23749i,-9.0949e-13-12901i,-9.0949e-13+12901i,4.5475e-13-6710.1i,4.5475e-13+6710.1i,4.2633e-13-3424.8i,4.2633e-13+3424.8i,-1.9327e-12-596.6i,-1.9327e-12+596.6i
6.6258e-13-1.2219e+05i,6.6258e-13+1.2219e+05i,-4.5475e-13-64381i,-4.5475e-13+64381i,2.3874e-12-22779i,2.3874e-12+22779i,-1.4779e-12-15966i,-1.4779e-12+15966i,2.9559e-12-8116.8i,2.9559e-12+8116.8i,-3.4106e-13-3768.1i,-3.4106e-13+3768.1i,-9.0949e-13-2523.8i,-9.0949e-13+2523.8i,2.7001e-13-447.69i,2.7001e-13+447.69i
2.9104e-11-7.6533e+05i,2.9104e-11+7.6533e+05i,-1.4552e-11-3.2866e+05i,-1.4552e-11+3.2866e+05i,5.457e-12-1.4792e+05i,5.457e-12+1.4792e+05i,5.457e-12-94607i,5.457e-12+94607i,-4.5475e-12-70561i,-4.5475e-12+70561i,7.5033e-12-22624i,7.5033e-12+22624i,-1.3188e-11-4946.4i,-1.3188e-11+4946.4i,-2.7285e-12-2516.6i,-2.7285e-12+2516.6i
1.819e-11-1.3424e+06i,1.819e-11+1.3424e+06i,1.0914e-11-5.4923e+05i,1.0914e-11+5.4923e+05i,-2.5466e-11-3.4922e+05i,-2.5466e-11+3.4922e+05i,2.6873e-11-1.5834e+05i,2.6873e-11+1.5834e+05i,2.0918e-11-1.1192e+05i,2.0918e-11+1.1192e+05i,4.0927e-12-33311i,4.0927e-12+33311i,-2.2965e-11-7913.2i,-2.2965e-11+7913.2i,1.4779e-12-3624.2i,1.4779e-12+3624.2i
-3.638e-12-1.4067e+06i,-3.638e-12+1.4067e+06i,4.0018e-11-5.7258e+05i,4.0018e-11+5.7258e+05i,7.276e-12-2.613e+05i,7.276e-12+2.613e+05i,-1.2733e-11-1.7422e+05i,-1.2733e-11+1.7422e+05i,-1.4552e-11-80977i,-1.4552e-11+80977i,1.5461e-11-28034i,1.5461e-11+28034i,1.6144e-11-7566.7i,1.6144e-11+7566.7i,-1.2284e-11-669.11i,-1.2284e-11+669.11i
-3.638e-12-1.1989e+06i,-3.638e-12+1.1989e+06i,-5.0932e-11-6.3337e+05i,-5.0932e-11+6.3337e+05i,1.1823e-11-2.4062e+05i,1.1823e-11+2.4062e+05i,-6.3665e-12-1.5967e+05i,-6.3665e-12+1.5967e+05i,-1.3642e-12-1.148e+05i,-1.3642e-12+1.148e+05i,-1.819e-12-36136i,-1.819e-12+36136i,3.5016e-11-14202i,3.5016e-11+14202i,6.3665e-12-4808.2i,6.3665e-12+4808.2i
0-1.2261e+06i,0+1.2261e+06i,-3.638e-11-5.0443e+05i,-3.638e-11+5.0443e+05i,6.3665e-12-1.8213e+05i,6.3665e-12+1.8213e+05i,5.457e-12-1.1263e+05i,5.457e-12+1.1263e+05i,7.276e-12-73491i,7.276e-12+73491i,-1.5007e-11-27937i,-1.5007e-11+27937i,1.296e-11-10198i,1.296e-11+10198i,2.5864e-11-1411.1i,2.5864e-11+1411.1i
0-9.7703e+05i,0+9.7703e+05i,-2.2737e-13-3.151e+05i,-2.2737e-13+3.151e+05i,-2.683e-11-1.8206e+05i,-2.683e-11+1.8206e+05i,0-1.4307e+05i,0+1.4307e+05i,1.3642e-12-42426i,1.3642e-12+42426i,1.4552e-11-21814i,1.4552e-11+21814i,-1.1084e-12-2025i,-1.1084e-12+2025i,1.6826e-11-12125i,1.6826e-11+12125i
-5.8208e-11-7.7568e+05i,-5.8208e-11+7.7568e+05i,1.4552e-11-2.6081e+05i,1.4552e-11+2.6081e+05i,-3.638e-12-1.5995e+05i,-3.638e-12+1.5995e+05i,2.7285e-12-1.3003e+05i,2.7285e-12+1.3003e+05i,-8.6402e-12-40304i,-8.6402e-12+40304i,-2.035e-11-3520.9i,-2.035e-11+3520.9i,7.276e-12-17859i,7.276e-12+17859i,9.5497e-12-14977i,9.5497e-12+14977i
-2.5466e-11-8.198e+05i,-2.5466e-11+8.198e+05i,-2.3647e-11-2.6617e+05i,-2.3647e-11+2.6617e+05i,0-1.6359e+05i,0+1.6359e+05i,-6.8212e-13-1.2714e+05i,-6.8212e-13+1.2714e+05i,-6.3665e-12-40414i,-6.3665e-12+40414i,7.276e-12-23297i,7.276e-12+23297i,8.6402e-12-11383i,8.6402e-12+11383i,-1.387e-11-1938.6i,-1.387e-11+1938.6i
5.0932e-11-8.3392e+05i,5.0932e-11+8.3392e+05i,2.9559e-11-3.2144e+05i,2.9559e-11+3.2144e+05i,-1.0914e-11-1.5323e+05i,-1.0914e-11+1.5323e+05i,2.1828e-11-1.2109e+05i,2.1828e-11+1.2109e+05i,-2.7285e-12-37692i,-2.7285e-12+37692i,-4.5475e-12-23763i,-4.5475e-12+23763i,-9.0949e-13-7955i,-9.0949e-13+7955i,3.4674e-12-2257i,3.4674e-12+2257i
-1.4552e-11-8.8922e+05i,-1.4552e-11+8.8922e+05i,-9.0381e-12-3.1402e+05i,-9.0381e-12+3.1402e+05i,1.819e-12-1.7887e+05i,1.819e-12+1.7887e+05i,-1.819e-11-1.2871e+05i,-1.819e-11+1.2871e+05i,-3.4106e-12-38788i,-3.4106e-12+38788i,-4.5475e-13-22703i,-4.5475e-13+22703i,-4.5475e-12-12299i,-4.5475e-12+12299i,1.171e-11-1707.6i,1.171e-11+1707.6i
2.9104e-11-6.537e+05i,2.9104e-11+6.537e+05i,-4.5475e-12-3.2655e+05i,-4.5475e-12+3.2655e+05i,-3.3651e-11-1.6894e+05i,-3.3651e-11+1.6894e+05i,-1.0914e-11-1.0006e+05i,-1.0914e-11+1.0006e+05i,2.7285e-11-63346i,2.7285e-11+63346i,2.7285e-12-25418i,2.7285e-12+25418i,1.4552e-11-11126i,1.4552e-11+11126i,-5.9686e-13-2008.2i,-5.9686e-13+2008.2i
