-4.6566e-09-6.6772e+07i,-4.6566e-09+6.6772e+07i,-4.6566e-10-2.9448e+07i,-4.6566e-10+2.9448e+07i,1.8626e-09-1.6447e+07i,1.8626e-09+1.6447e+07i,4.0745e-10-5.8653e+06i,4.0745e-10+5.8653e+06i,6.1118e-10-4.311e+06i,6.1118e-10+4.311e+06i,-5.8208e-11-3.1561e+06i,-5.8208e-11+3.1561e+06i,2.9104e-10-1.817e+06i,2.9104e-10+1.817e+06i,-2.6193e-10-9.7406e+05i,-2.6193e-10+9.7406e+05i,4.3656e-10-6.3231e+05i,4.3656e-10+6.3231e+05i,-7.276e-11-3.4011e+05i,-7.276e-11+3.4011e+05i,-2.6739e-10-58980i,-2.6739e-10+58980i,-7.6398e-11-1.0928e+05i,-7.6398e-11+1.0928e+05i
4.6566e-10-6.1625e+07i,4.6566e-10+6.1625e+07i,-4.6566e-10-4.6884e+07i,-4.6566e-10+4.6884e+07i,1.0477e-09-2.0754e+07i,1.0477e-09+2.0754e+07i,-8.1491e-10-6.409e+06i,-8.1491e-10+6.409e+06i,2.3429e-09-4.0195e+06i,2.3429e-09+4.0195e+06i,-1.397e-09-2.5041e+06i,-1.397e-09+2.5041e+06i,1.5134e-09-1.383e+06i,1.5134e-09+1.383e+06i,-2.9104e-11-9.5806e+05i,-2.9104e-11+9.5806e+05i,3.3469e-10-5.0043e+05i,3.3469e-10+5.0043e+05i,3.8563e-10-2.2469e+05i,3.8563e-10+2.2469e+05i,-1.2915e-10-1.1651e+05i,-1.2915e-10+1.1651e+05i,-9.0949e-11-27028i,-9.0949e-11+27028i
-1.688e-09-7.4693e+07i,-1.688e-09+7.4693e+07i,1.8626e-09-6.3205e+07i,1.8626e-09+6.3205e+07i,-9.6043e-10-2.2652e+07i,-9.6043e-10+2.2652e+07i,-1.0768e-09-6.1262e+06i,-1.0768e-09+6.1262e+06i,8.1491e-10-4.3109e+06i,8.1491e-10+4.3109e+06i,-1.397e-09-1.7786e+06i,-1.397e-09+1.7786e+06i,-2.2119e-09-1.3645e+06i,-2.2119e-09+1.3645e+06i,6.9849e-10-1.0061e+06i,6.9849e-10+1.0061e+06i,-6.2573e-10-3.5479e+05i,-6.2573e-10+3.5479e+05i,4.0018e-11-2.2051e+05i,4.0018e-11+2.2051e+05i,5.8208e-11-92190i,5.8208e-11+92190i,1.3188e-10-31126i,1.3188e-10+31126i
1.5134e-09-6.4514e+07i,1.5134e-09+6.4514e+07i,3.1418e-89-5.4918e+07i,3.1418e-89+5.4918e+07i,6.9849e-10-2.0061e+07i,6.9849e-10+2.0061e+07i,2.3283e-10-6.5111e+06i,2.3283e-10+6.5111e+06i,-2.2119e-09-3.8484e+06i,-2.2119e-09+3.8484e+06i,-5.8208e-10-2.7856e+06i,-5.8208e-10+2.7856e+06i,-9.0222e-10-1.1726e+06i,-9.0222e-10+1.1726e+06i,1.4115e-09-6.5539e+05i,1.4115e-09+6.5539e+05i,-5.0204e-10-4.8003e+05i,-5.0204e-10+4.8003e+05i,1.1278e-10-2.45e+05i,1.1278e-10+2.45e+05i,3.638e-11-1.2147e+05i,3.638e-11+1.2147e+05i,9.8225e-11-27653i,9.8225e-11+27653i
-8.8476e-09-6.0843e+07i,-8.8476e-09+6.0843e+07i,-2.794e-09-5.3432e+07i,-2.794e-09+5.3432e+07i,6.9849e-10-1.9314e+07i,6.9849e-10+1.9314e+07i,-2.9104e-09-6.3733e+06i,-2.9104e-09+6.3733e+06i,1.1642e-10-4.4997e+06i,1.1642e-10+4.4997e+06i,4.6566e-10-2.58e+06i,4.6566e-10+2.58e+06i,6.9849e-10-1.977e+06i,6.9849e-10+1.977e+06i,-6.9849e-10-9.3033e+05i,-6.9849e-10+9.3033e+05i,1.7462e-10-5.0724e+05i,1.7462e-10+5.0724e+05i,3.638e-10-2.983e+05i,3.638e-10+2.983e+05i,4.0018e-11-1.4128e+05i,4.0018e-11+1.4128e+05i,-1.3188e-11-23342i,-1.3188e-11+23342i
-1.8626e-09-6.3625e+07i,-1.8626e-09+6.3625e+07i,0-4.0732e+07i,0+4.0732e+07i,-6.9849e-10-1.5549e+07i,-6.9849e-10+1.5549e+07i,1.3388e-09-5.1116e+06i,1.3388e-09+5.1116e+06i,1.7462e-10-2.9982e+06i,1.7462e-10+2.9982e+06i,-5.8208e-11-2.5248e+06i,-5.8208e-11+2.5248e+06i,9.3132e-10-1.7702e+06i,9.3132e-10+1.7702e+06i,-8.6311e-10-7.3442e+05i,-8.6311e-10+7.3442e+05i,-1.8917e-10-4.5059e+05i,-1.8917e-10+4.5059e+05i,1.4916e-10-1.5696e+05i,1.4916e-10+1.5696e+05i,-9.1859e-11-49844i,-9.1859e-11+49844i,-1.1009e-10-1307.7i,-1.1009e-10+1307.7i
-3.7253e-09-6.881e+07i,-3.7253e-09+6.881e+07i,5.5879e-09-6.3414e+07i,5.5879e-09+6.3414e+07i,4.6566e-10-1.9675e+07i,4.6566e-10+1.9675e+07i,7.276e-11-6.3871e+06i,7.276e-11+6.3871e+06i,-1.8044e-09-3.917e+06i,-1.8044e-09+3.917e+06i,-1.8626e-09-2.7269e+06i,-1.8626e-09+2.7269e+06i,-5.2387e-10-1.387e+06i,-5.2387e-10+1.387e+06i,-3.9654e-10-1.0592e+06i,-3.9654e-10+1.0592e+06i,4.6566e-10-5.0027e+05i,4.6566e-10+5.0027e+05i,1.3533e-09-2.4586e+05i,1.3533e-09+2.4586e+05i,-1.4552e-11-1.0692e+05i,-1.4552e-11+1.0692e+05i,-4.9093e-10-769.86i,-4.9093e-10+769.86i
6.9849e-10-3.2941e+07i,6.9849e-10+3.2941e+07i,-1.0477e-09-1.621e+07i,-1.0477e-09+1.621e+07i,5.2387e-10-7.5928e+06i,5.2387e-10+7.5928e+06i,-2.1828e-10-4.8608e+06i,-2.1828e-10+4.8608e+06i,-3.7835e-10-3.4007e+06i,-3.7835e-10+3.4007e+06i,-3.4925e-10-1.3168e+06i,-3.4925e-10+1.3168e+06i,3.638e-11-9.1268e+05i,3.638e-11+9.1268e+05i,-1.4552e-10-7.1189e+05i,-1.4552e-10+7.1189e+05i,2.6921e-10-4.1091e+05i,2.6921e-10+4.1091e+05i,-2.4215e-10-1.9627e+05i,-2.4215e-10+1.9627e+05i,6.0027e-11-1.381e+05i,6.0027e-11+1.381e+05i,1.9099e-11-22803i,1.9099e-11+22803i
-1.397e-09-3.4065e+07i,-1.397e-09+3.4065e+07i,0-1.8064e+07i,0+1.8064e+07i,5.1415e-10-8.6002e+06i,5.1415e-10+8.6002e+06i,0-5.2729e+06i,0+5.2729e+06i,-7.276e-11-2.8967e+06i,-7.276e-11+2.8967e+06i,-1.2587e-09-1.3179e+06i,-1.2587e-09+1.3179e+06i,-3.4925e-10-1.0788e+06i,-3.4925e-10+1.0788e+06i,5.8208e-10-7.6833e+05i,5.8208e-10+7.6833e+05i,-1.819e-10-4.5349e+05i,-1.819e-10+4.5349e+05i,1.8281e-10-1.8322e+05i,1.8281e-10+1.8322e+05i,-2.5921e-10-93455i,-2.5921e-10+93455i,-2.16e-11-22907i,-2.16e-11+22907i
0-3.9915e+07i,0+3.9915e+07i,5.2387e-10-1.8124e+07i,5.2387e-10+1.8124e+07i,4.381e-58-8.5252e+06i,4.381e-58+8.5252e+06i,5.8208e-11-4.6042e+06i,5.8208e-11+4.6042e+06i,8.7311e-10-2.7545e+06i,8.7311e-10+2.7545e+06i,-9.8953e-10-1.7647e+06i,-9.8953e-10+1.7647e+06i,0-1.0954e+06i,0+1.0954e+06i,4.0745e-10-5.6473e+05i,4.0745e-10+5.6473e+05i,1.5098e-10-3.8618e+05i,1.5098e-10+3.8618e+05i,-2.1828e-11-2.8597e+05i,-2.1828e-11+2.8597e+05i,7.6398e-11-1.265e+05i,7.6398e-11+1.265e+05i,6.5711e-11-9454.3i,6.5711e-11+9454.3i
6.1118e-10-4.0677e+07i,6.1118e-10+4.0677e+07i,3.4925e-10-2.0815e+07i,3.4925e-10+2.0815e+07i,-1.3388e-09-1.1053e+07i,-1.3388e-09+1.1053e+07i,-6.9849e-10-5.7301e+06i,-6.9849e-10+5.7301e+06i,6.4028e-10-3.1096e+06i,6.4028e-10+3.1096e+06i,4.0745e-10-1.9165e+06i,4.0745e-10+1.9165e+06i,2.1828e-10-1.2982e+06i,2.1828e-10+1.2982e+06i,-2.0373e-10-8.0559e+05i,-2.0373e-10+8.0559e+05i,2.3283e-10-3.5154e+05i,2.3283e-10+3.5154e+05i,1.6007e-10-2.0417e+05i,1.6007e-10+2.0417e+05i,-9.0949e-11-1.4366e+05i,-9.0949e-11+1.4366e+05i,-2.7853e-11-39192i,-2.7853e-11+39192i
-1.9527e-09-2.7714e+07i,-1.9527e-09+2.7714e+07i,7.567e-10-1.893e+07i,7.567e-10+1.893e+07i,-7.7125e-10-8.4985e+06i,-7.7125e-10+8.4985e+06i,9.4587e-11-3.2002e+06i,9.4587e-11+3.2002e+06i,-1.1642e-10-2.4326e+06i,-1.1642e-10+2.4326e+06i,4.984e-10-1.8422e+06i,4.984e-10+1.8422e+06i,-7.6398e-11-1.0601e+06i,-7.6398e-11+1.0601e+06i,2.4738e-10-5.7222e+05i,2.4738e-10+5.7222e+05i,7.6398e-11-3.9611e+05i,7.6398e-11+3.9611e+05i,2.0373e-10-1.812e+05i,2.0373e-10+1.812e+05i,2.0009e-11-53260i,2.0009e-11+53260i,3.3424e-10-12941i,3.3424e-10+12941i
-2.6193e-10-3.423e+07i,-2.6193e-10+3.423e+07i,-5.7956e-70-1.9979e+07i,-5.7956e-70+1.9979e+07i,-8.7311e-11-1.1013e+07i,-8.7311e-11+1.1013e+07i,1.4552e-11-7.171e+06i,1.4552e-11+7.171e+06i,0-3.8461e+06i,0+3.8461e+06i,0-1.8776e+06i,0+1.8776e+06i,6.4028e-10-1.3086e+06i,6.4028e-10+1.3086e+06i,-3.7835e-10-9.6819e+05i,-3.7835e-10+9.6819e+05i,4.3656e-11-4.0903e+05i,4.3656e-11+4.0903e+05i,7.276e-11-2.2335e+05i,7.276e-11+2.2335e+05i,2.9104e-11-1.6339e+05i,2.9104e-11+1.6339e+05i,7.4976e-11-18951i,7.4976e-11+18951i
-1.2806e-09-5.7676e+07i,-1.2806e-09+5.7676e+07i,-3.7253e-09-4.1987e+07i,-3.7253e-09+4.1987e+07i,-3.2014e-10-1.2432e+07i,-3.2014e-10+1.2432e+07i,9.3132e-10-6.2774e+06i,9.3132e-10+6.2774e+06i,-1.1642e-10-3.8991e+06i,-1.1642e-10+3.8991e+06i,4.2201e-10-2.1228e+06i,4.2201e-10+2.1228e+06i,0-1.4593e+06i,0+1.4593e+06i,-2.974e-10-7.2179e+05i,-2.974e-10+7.2179e+05i,-5.8208e-10-5.167e+05i,-5.8208e-10+5.167e+05i,9.4587e-11-2.5265e+05i,9.4587e-11+2.5265e+05i,1.0186e-10-1.692e+05i,1.0186e-10+1.692e+05i,2.9422e-10-7452.5i,2.9422e-10+7452.5i
